naics_code,kind_of_business,sales_month,sales
447,Gasoline stations,9/1/98,15859
447,Gasoline stations,10/1/98,16410
447,Gasoline stations,11/1/98,15373
447,Gasoline stations,12/1/98,16120
448,Clothing and clothing access. stores,1/1/98,8800
448,Clothing and clothing access. stores,2/1/98,9499
448,Clothing and clothing access. stores,3/1/98,10863
448,Clothing and clothing access. stores,4/1/98,11825
448,Clothing and clothing access. stores,5/1/98,12239
448,Clothing and clothing access. stores,6/1/98,11451
448,Clothing and clothing access. stores,7/1/98,11633
448,Clothing and clothing access. stores,8/1/98,12971
448,Clothing and clothing access. stores,9/1/98,11214
448,Clothing and clothing access. stores,10/1/98,12384
448,Clothing and clothing access. stores,11/1/98,13854
448,Clothing and clothing access. stores,12/1/98,22418
4481,Clothing stores,1/1/98,6224
4481,Clothing stores,2/1/98,6366
4481,Clothing stores,3/1/98,7736
4481,Clothing stores,4/1/98,8414
4481,Clothing stores,5/1/98,8436
4481,Clothing stores,6/1/98,7983
4481,Clothing stores,7/1/98,8211
4481,Clothing stores,8/1/98,9128
4481,Clothing stores,9/1/98,8040
4481,Clothing stores,10/1/98,8993
4481,Clothing stores,11/1/98,10031
4481,Clothing stores,12/1/98,14566
44811,Men's clothing stores,1/1/98,716
44811,Men's clothing stores,2/1/98,644
44811,Men's clothing stores,3/1/98,735
44811,Men's clothing stores,4/1/98,844
44811,Men's clothing stores,5/1/98,836
44811,Men's clothing stores,6/1/98,817
44811,Men's clothing stores,7/1/98,757
44811,Men's clothing stores,8/1/98,844
44811,Men's clothing stores,9/1/98,754
44811,Men's clothing stores,10/1/98,865
44811,Men's clothing stores,11/1/98,955
44811,Men's clothing stores,12/1/98,1429
44812,Women's clothing stores,1/1/98,1722
44812,Women's clothing stores,2/1/98,1767
44812,Women's clothing stores,3/1/98,2194
44812,Women's clothing stores,4/1/98,2507
44812,Women's clothing stores,5/1/98,2512
44812,Women's clothing stores,6/1/98,2254
44812,Women's clothing stores,7/1/98,2222
44812,Women's clothing stores,8/1/98,2327
44812,Women's clothing stores,9/1/98,2244
44812,Women's clothing stores,10/1/98,2422
44812,Women's clothing stores,11/1/98,2531
44812,Women's clothing stores,12/1/98,3630
44814,Family clothing stores,1/1/98,2769
44814,Family clothing stores,2/1/98,2875
44814,Family clothing stores,3/1/98,3563
44814,Family clothing stores,4/1/98,3821
44814,Family clothing stores,5/1/98,3896
44814,Family clothing stores,6/1/98,3788
44814,Family clothing stores,7/1/98,4054
44814,Family clothing stores,8/1/98,4534
44814,Family clothing stores,9/1/98,3793
44814,Family clothing stores,10/1/98,4433
44814,Family clothing stores,11/1/98,5181
44814,Family clothing stores,12/1/98,7447
44819,Other clothing stores,1/1/98,
44819,Other clothing stores,2/1/98,
44819,Other clothing stores,3/1/98,
44819,Other clothing stores,4/1/98,
44819,Other clothing stores,5/1/98,
44819,Other clothing stores,6/1/98,
44819,Other clothing stores,7/1/98,
44819,Other clothing stores,8/1/98,
44819,Other clothing stores,9/1/98,
44819,Other clothing stores,10/1/98,
44819,Other clothing stores,11/1/98,
44819,Other clothing stores,12/1/98,
4482,Shoe stores,1/1/98,1360
4482,Shoe stores,2/1/98,1518
4482,Shoe stores,3/1/98,1774
4482,Shoe stores,4/1/98,1936
4482,Shoe stores,5/1/98,1929
4482,Shoe stores,6/1/98,1819
4482,Shoe stores,7/1/98,1877
4482,Shoe stores,8/1/98,2265
4482,Shoe stores,9/1/98,1704
4482,Shoe stores,10/1/98,1799
4482,Shoe stores,11/1/98,1800
4482,Shoe stores,12/1/98,2457
44831,Jewelry stores,1/1/98,1110
44831,Jewelry stores,2/1/98,1502
44831,Jewelry stores,3/1/98,1228
44831,Jewelry stores,4/1/98,1352
44831,Jewelry stores,5/1/98,1742
44831,Jewelry stores,6/1/98,1515
44831,Jewelry stores,7/1/98,1405
44831,Jewelry stores,8/1/98,1455
44831,Jewelry stores,9/1/98,1362
44831,Jewelry stores,10/1/98,1495
44831,Jewelry stores,11/1/98,1909
44831,Jewelry stores,12/1/98,5196
451,"Sporting goods, hobby, musical instrument, and book stores",1/1/98,4413
451,"Sporting goods, hobby, musical instrument, and book stores",2/1/98,3896
451,"Sporting goods, hobby, musical instrument, and book stores",3/1/98,4422
451,"Sporting goods, hobby, musical instrument, and book stores",4/1/98,4452
451,"Sporting goods, hobby, musical instrument, and book stores",5/1/98,4557
451,"Sporting goods, hobby, musical instrument, and book stores",6/1/98,4783
451,"Sporting goods, hobby, musical instrument, and book stores",7/1/98,4584
451,"Sporting goods, hobby, musical instrument, and book stores",8/1/98,5158
451,"Sporting goods, hobby, musical instrument, and book stores",9/1/98,4800
451,"Sporting goods, hobby, musical instrument, and book stores",10/1/98,4669
451,"Sporting goods, hobby, musical instrument, and book stores",11/1/98,5424
451,"Sporting goods, hobby, musical instrument, and book stores",12/1/98,9283
45111,Sporting goods stores,1/1/98,1381
45111,Sporting goods stores,2/1/98,1407
45111,Sporting goods stores,3/1/98,1754
45111,Sporting goods stores,4/1/98,1820
45111,Sporting goods stores,5/1/98,1938
45111,Sporting goods stores,6/1/98,2120
45111,Sporting goods stores,7/1/98,1975
45111,Sporting goods stores,8/1/98,2038
45111,Sporting goods stores,9/1/98,1701
45111,Sporting goods stores,10/1/98,1607
45111,Sporting goods stores,11/1/98,1685
45111,Sporting goods stores,12/1/98,2858
45112,"Hobby, toy, and game stores",1/1/98,858
45112,"Hobby, toy, and game stores",2/1/98,883
45112,"Hobby, toy, and game stores",3/1/98,987
45112,"Hobby, toy, and game stores",4/1/98,1022
45112,"Hobby, toy, and game stores",5/1/98,986
45112,"Hobby, toy, and game stores",6/1/98,1016
45112,"Hobby, toy, and game stores",7/1/98,1042
45112,"Hobby, toy, and game stores",8/1/98,1025
45112,"Hobby, toy, and game stores",9/1/98,1005
45112,"Hobby, toy, and game stores",10/1/98,1197
45112,"Hobby, toy, and game stores",11/1/98,2011
45112,"Hobby, toy, and game stores",12/1/98,3801
451211,Book stores,1/1/98,1463
451211,Book stores,2/1/98,921
451211,Book stores,3/1/98,882
451211,Book stores,4/1/98,854
451211,Book stores,5/1/98,919
451211,Book stores,6/1/98,939
451211,Book stores,7/1/98,881
451211,Book stores,8/1/98,1385
451211,Book stores,9/1/98,1246
451211,Book stores,10/1/98,953
451211,Book stores,11/1/98,990
451211,Book stores,12/1/98,1849
452,General merchandise stores,1/1/98,22487
452,General merchandise stores,2/1/98,23020
452,General merchandise stores,3/1/98,26112
452,General merchandise stores,4/1/98,27434
452,General merchandise stores,5/1/98,29179
452,General merchandise stores,6/1/98,27795
452,General merchandise stores,7/1/98,27392
452,General merchandise stores,8/1/98,29007
452,General merchandise stores,9/1/98,26687
452,General merchandise stores,10/1/98,29357
452,General merchandise stores,11/1/98,34377
452,General merchandise stores,12/1/98,48234
4521,Department stores,1/1/98,13887
4521,Department stores,2/1/98,14640
4521,Department stores,3/1/98,16616
4521,Department stores,4/1/98,17544
4521,Department stores,5/1/98,18581
4521,Department stores,6/1/98,17234
4521,Department stores,7/1/98,16908
4521,Department stores,8/1/98,18362
4521,Department stores,9/1/98,16467
4521,Department stores,10/1/98,18211
4521,Department stores,11/1/98,22164
4521,Department stores,12/1/98,32676
452111,Department stores(excl. discount department stores),1/1/98,5474
452111,Department stores(excl. discount department stores),2/1/98,6070
452111,Department stores(excl. discount department stores),3/1/98,6982
452111,Department stores(excl. discount department stores),4/1/98,7221
452111,Department stores(excl. discount department stores),5/1/98,7619
452111,Department stores(excl. discount department stores),6/1/98,6911
452111,Department stores(excl. discount department stores),7/1/98,6837
452111,Department stores(excl. discount department stores),8/1/98,7777
452111,Department stores(excl. discount department stores),9/1/98,6894
452111,Department stores(excl. discount department stores),10/1/98,7654
452111,Department stores(excl. discount department stores),11/1/98,9592
452111,Department stores(excl. discount department stores),12/1/98,15277
452112,Discount dept. stores,1/1/98,8413
452112,Discount dept. stores,2/1/98,8570
452112,Discount dept. stores,3/1/98,9634
452112,Discount dept. stores,4/1/98,10323
452112,Discount dept. stores,5/1/98,10962
452112,Discount dept. stores,6/1/98,10323
452112,Discount dept. stores,7/1/98,10071
452112,Discount dept. stores,8/1/98,10585
452112,Discount dept. stores,9/1/98,9573
452112,Discount dept. stores,10/1/98,10557
452112,Discount dept. stores,11/1/98,12572
452112,Discount dept. stores,12/1/98,17399
4529,Other general merchandise stores,1/1/98,8600
4529,Other general merchandise stores,2/1/98,8380
4529,Other general merchandise stores,3/1/98,9496
4529,Other general merchandise stores,4/1/98,9890
4529,Other general merchandise stores,5/1/98,10598
4529,Other general merchandise stores,6/1/98,10561
4529,Other general merchandise stores,7/1/98,10484
4529,Other general merchandise stores,8/1/98,10645
4529,Other general merchandise stores,9/1/98,10220
4529,Other general merchandise stores,10/1/98,11146
4529,Other general merchandise stores,11/1/98,12213
4529,Other general merchandise stores,12/1/98,15558
45291,Warehouse clubs and superstores,1/1/98,6661
45291,Warehouse clubs and superstores,2/1/98,6396
45291,Warehouse clubs and superstores,3/1/98,7275
45291,Warehouse clubs and superstores,4/1/98,7582
45291,Warehouse clubs and superstores,5/1/98,8167
45291,Warehouse clubs and superstores,6/1/98,8178
45291,Warehouse clubs and superstores,7/1/98,8118
45291,Warehouse clubs and superstores,8/1/98,8286
45291,Warehouse clubs and superstores,9/1/98,7964
45291,Warehouse clubs and superstores,10/1/98,8639
45291,Warehouse clubs and superstores,11/1/98,9436
45291,Warehouse clubs and superstores,12/1/98,11791
45299,All other gen. merchandise stores,1/1/98,1939
45299,All other gen. merchandise stores,2/1/98,1984
45299,All other gen. merchandise stores,3/1/98,2221
45299,All other gen. merchandise stores,4/1/98,2308
45299,All other gen. merchandise stores,5/1/98,2431
45299,All other gen. merchandise stores,6/1/98,2383
45299,All other gen. merchandise stores,7/1/98,2366
45299,All other gen. merchandise stores,8/1/98,2359
45299,All other gen. merchandise stores,9/1/98,2256
45299,All other gen. merchandise stores,10/1/98,2507
45299,All other gen. merchandise stores,11/1/98,2777
45299,All other gen. merchandise stores,12/1/98,3767
453,Miscellaneous store retailers,1/1/98,7098
453,Miscellaneous store retailers,2/1/98,7272
453,Miscellaneous store retailers,3/1/98,7582
453,Miscellaneous store retailers,4/1/98,7583
453,Miscellaneous store retailers,5/1/98,8054
453,Miscellaneous store retailers,6/1/98,8239
453,Miscellaneous store retailers,7/1/98,8221
453,Miscellaneous store retailers,8/1/98,8257
453,Miscellaneous store retailers,9/1/98,8256
453,Miscellaneous store retailers,10/1/98,8358
453,Miscellaneous store retailers,11/1/98,8253
453,Miscellaneous store retailers,12/1/98,11196
4532,"Office supplies, stationery, and gift stores",1/1/98,2784
4532,"Office supplies, stationery, and gift stores",2/1/98,2746
4532,"Office supplies, stationery, and gift stores",3/1/98,2816
4532,"Office supplies, stationery, and gift stores",4/1/98,2667
4532,"Office supplies, stationery, and gift stores",5/1/98,2722
4532,"Office supplies, stationery, and gift stores",6/1/98,2736
4532,"Office supplies, stationery, and gift stores",7/1/98,2866
4532,"Office supplies, stationery, and gift stores",8/1/98,3010
4532,"Office supplies, stationery, and gift stores",9/1/98,3188
4532,"Office supplies, stationery, and gift stores",10/1/98,3213
4532,"Office supplies, stationery, and gift stores",11/1/98,3340
4532,"Office supplies, stationery, and gift stores",12/1/98,5032
45321,Office supplies and stationery stores,1/1/98,1730
45321,Office supplies and stationery stores,2/1/98,1516
45321,Office supplies and stationery stores,3/1/98,1584
45321,Office supplies and stationery stores,4/1/98,1412
45321,Office supplies and stationery stores,5/1/98,1392
45321,Office supplies and stationery stores,6/1/98,1421
45321,Office supplies and stationery stores,7/1/98,1512
45321,Office supplies and stationery stores,8/1/98,1675
45321,Office supplies and stationery stores,9/1/98,1866
45321,Office supplies and stationery stores,10/1/98,1760
45321,Office supplies and stationery stores,11/1/98,1663
45321,Office supplies and stationery stores,12/1/98,1991
45322,"Gift, novelty, and souvenir stores",1/1/98,1054
45322,"Gift, novelty, and souvenir stores",2/1/98,1230
45322,"Gift, novelty, and souvenir stores",3/1/98,1232
45322,"Gift, novelty, and souvenir stores",4/1/98,1255
45322,"Gift, novelty, and souvenir stores",5/1/98,1330
45322,"Gift, novelty, and souvenir stores",6/1/98,1315
45322,"Gift, novelty, and souvenir stores",7/1/98,1354
45322,"Gift, novelty, and souvenir stores",8/1/98,1335
45322,"Gift, novelty, and souvenir stores",9/1/98,1322
45322,"Gift, novelty, and souvenir stores",10/1/98,1453
45322,"Gift, novelty, and souvenir stores",11/1/98,1677
45322,"Gift, novelty, and souvenir stores",12/1/98,3041
45330,Used merchandise stores,1/1/98,633
45330,Used merchandise stores,2/1/98,710
45330,Used merchandise stores,3/1/98,725
45330,Used merchandise stores,4/1/98,665
45330,Used merchandise stores,5/1/98,673
45330,Used merchandise stores,6/1/98,698
45330,Used merchandise stores,7/1/98,782
45330,Used merchandise stores,8/1/98,762
45330,Used merchandise stores,9/1/98,770
45330,Used merchandise stores,10/1/98,844
45330,Used merchandise stores,11/1/98,795
45330,Used merchandise stores,12/1/98,966
454,Nonstore retailers,1/1/98,10470
454,Nonstore retailers,2/1/98,9970
454,Nonstore retailers,3/1/98,11326
454,Nonstore retailers,4/1/98,10391
454,Nonstore retailers,5/1/98,10100
454,Nonstore retailers,6/1/98,10217
454,Nonstore retailers,7/1/98,10264
454,Nonstore retailers,8/1/98,10044
454,Nonstore retailers,9/1/98,10884
454,Nonstore retailers,10/1/98,12327
454,Nonstore retailers,11/1/98,12990
454,Nonstore retailers,12/1/98,14921
4541,Electronic shopping and mail-order houses,1/1/98,5794
4541,Electronic shopping and mail-order houses,2/1/98,5455
4541,Electronic shopping and mail-order houses,3/1/98,6528
4541,Electronic shopping and mail-order houses,4/1/98,6096
4541,Electronic shopping and mail-order houses,5/1/98,6111
